token,pc1,pc2
expected,0.5808706879615784,-0.09134984761476517
start,0.47815677523612976,-0.0869101732969284
phase,0.7100871801376343,0.1670248955488205
asian,-0.0163086149841547,-0.3285895884037018
take,-0.17952609062194824,-0.29549846053123474
always,-0.2622224688529968,-0.31413596868515015
using,0.3626422584056854,-0.06767843663692474
nt,-0.19916217029094696,-0.5508971810340881
program,0.2984093725681305,0.29804596304893494
january,0.267667680978775,0.6291792392730713
the_south_china_sea,-0.3250393271446228,-0.1302751898765564
both,-0.3393896520137787,-0.13140593469142914
dr,-0.4595058858394623,0.4462677240371704
1,0.568107008934021,0.3541633188724518
administration,0.11757990717887878,0.22359569370746613
days,0.5044809579849243,0.17323897778987885
among,0.4853043258190155,-0.12957024574279785
rice,0.43942710757255554,0.3629680573940277
republic,0.08827267587184906,0.4752242863178253
affairs,-0.5367388129234314,0.21893329918384552
around,0.4463914930820465,-0.15931260585784912
just,0.0942450687289238,-0.20680829882621765
launched,0.13422344624996185,0.11473652720451355
fighting,0.1399751752614975,-0.2108430117368698
law,-0.3892420530319214,-0.2125682681798935
festival,0.004308197647333145,-0.0007788025541231036
nations,-0.27165478467941284,-0.14892496168613434
last,0.3521796464920044,0.22577278316020966
each,-0.04794802516698837,-0.5696319341659546
overcome,-0.16358055174350739,-0.2601670026779175
m,0.3218897879123688,0.22342652082443237
morning,0.021823344752192497,0.5171908140182495
set,0.35190629959106445,-0.11968471854925156
companies,-0.1205306202173233,-0.22256293892860413
mayor,-0.30181369185447693,0.4588063061237335
dose,0.6647238731384277,0.5232633352279663
long,0.19347529113292694,-0.3510187268257141
before,0.33952251076698303,-0.12877531349658966
look,-0.3198662996292114,0.007565896026790142
political,-0.28564539551734924,-0.2519780099391937
versus,-0.08939078450202942,0.14648273587226868
link,-0.5726718306541443,0.21708132326602936
3,0.5144579410552979,0.31739258766174316
part,0.16614337265491486,-0.16089855134487152
expressed,-0.45799151062965393,0.23423966765403748
these,-0.3391200304031372,-0.18154433369636536
hongkong,-0.42197853326797485,0.019235093146562576
matters,-0.1979917585849762,-0.1630040556192398
capital,0.25417977571487427,0.48668912053108215
life,0.09987714886665344,-0.183125838637352
interview,-0.39347442984580994,0.498290479183197
largest,0.20555844902992249,-0.11941443383693695
capacity,0.679221510887146,-0.13322044909000397
vaccinated,0.48045289516448975,-0.08093500137329102
hope,-0.11014281213283539,-0.33802133798599243
safe,0.21923032402992249,-0.3152543008327484
technology,-0.15924684703350067,0.099275603890419
summit,-0.5674797296524048,0.2390540987253189
check,-0.32130560278892517,-0.31088387966156006
market,0.11279412358999252,-0.3008069097995758
like,0.16298091411590576,-0.3290961980819702
regional,-0.4269329607486725,-0.23108866810798645
great,-0.0850396528840065,-0.3001597821712494
major,0.13412611186504364,-0.3271493911743164
if,0.07402418553829193,-0.5125592350959778
live,-0.23452946543693542,0.023788752034306526
side,-0.08676518499851227,-0.260858952999115
jointly,-0.3201327621936798,0.17704139649868011
battle,0.2328128218650818,-0.24019594490528107
firmly,-0.4416239261627197,-0.11407680064439774
treatment,0.39955881237983704,-0.08119826018810272
domestic,0.2711578607559204,-0.02690557949244976
climate,-0.4315418004989624,0.046434737741947174
industry,-0.28495875000953674,0.40889087319374084
even,0.011989223770797253,-0.3863976299762726
while,-0.025341665372252464,0.025098267942667007
jan,0.07667156308889389,0.5457772016525269
bilateral,-0.5044922828674316,-0.06720001995563507
center,-0.04236787185072899,0.2334667146205902
back,0.05522394925355911,-0.09204692393541336
inactivated,0.7061840891838074,0.16711418330669403
get,0.16162292659282684,-0.35615748167037964
commerce,-0.413590669631958,0.5031776428222656
vice,-0.45251670479774475,0.5649144053459167
let,-0.17318135499954224,-0.29949602484703064
foreign_ministry,-0.3746487498283386,0.565185546875
