date,cat,count,n,freq
2021-04-16,posemo,9,129,0.06976744186046512
2021-04-16,negemo,3,129,0.023255813953488372
2021-04-16,they,0,129,0.0
2021-04-16,we,0,129,0.0
2021-04-16,tentat,1,129,0.007751937984496124
2021-04-16,certain,2,129,0.015503875968992248
2021-04-16,money,5,129,0.03875968992248062
2021-04-16,friend,0,129,0.0
2021-04-16,achieve,10,129,0.07751937984496124
2021-04-16,negate,0,129,0.0
2021-04-16,anger,1,129,0.007751937984496124
2021-04-16,anx,0,129,0.0
2021-04-15,certain,1,140,0.007142857142857143
2021-04-15,posemo,2,140,0.014285714285714285
2021-04-15,negemo,0,140,0.0
2021-04-15,they,0,140,0.0
2021-04-15,we,0,140,0.0
2021-04-15,tentat,4,140,0.02857142857142857
2021-04-15,negate,2,140,0.014285714285714285
2021-04-15,money,3,140,0.02142857142857143
2021-04-15,achieve,7,140,0.05
2021-04-15,friend,0,140,0.0
2021-04-15,anger,0,140,0.0
2021-04-15,anx,0,140,0.0
2021-04-14,money,1,118,0.00847457627118644
2021-04-14,negemo,2,118,0.01694915254237288
2021-04-14,they,0,118,0.0
2021-04-14,we,1,118,0.00847457627118644
2021-04-14,tentat,1,118,0.00847457627118644
2021-04-14,certain,0,118,0.0
2021-04-14,posemo,3,118,0.025423728813559324
2021-04-14,friend,0,118,0.0
2021-04-14,achieve,2,118,0.01694915254237288
2021-04-14,negate,1,118,0.00847457627118644
2021-04-14,anger,0,118,0.0
2021-04-14,anx,0,118,0.0
2021-04-13,posemo,3,138,0.021739130434782608
2021-04-13,negemo,5,138,0.036231884057971016
2021-04-13,they,0,138,0.0
2021-04-13,we,0,138,0.0
2021-04-13,tentat,0,138,0.0
2021-04-13,certain,3,138,0.021739130434782608
2021-04-13,money,4,138,0.028985507246376812
2021-04-13,friend,0,138,0.0
2021-04-13,achieve,12,138,0.08695652173913043
2021-04-13,negate,0,138,0.0
2021-04-13,anger,2,138,0.014492753623188406
2021-04-13,anx,0,138,0.0
2021-04-12,money,0,176,0.0
2021-04-12,negemo,6,176,0.03409090909090909
2021-04-12,they,0,176,0.0
2021-04-12,we,3,176,0.017045454545454544
2021-04-12,tentat,2,176,0.011363636363636364
2021-04-12,certain,2,176,0.011363636363636364
2021-04-12,posemo,5,176,0.028409090909090908
2021-04-12,friend,0,176,0.0
2021-04-12,achieve,9,176,0.05113636363636364
2021-04-12,negate,3,176,0.017045454545454544
2021-04-12,anger,1,176,0.005681818181818182
2021-04-12,anx,0,176,0.0
2021-04-11,posemo,3,133,0.022556390977443608
2021-04-11,negemo,0,133,0.0
2021-04-11,they,0,133,0.0
2021-04-11,we,0,133,0.0
2021-04-11,tentat,2,133,0.015037593984962405
2021-04-11,certain,2,133,0.015037593984962405
2021-04-11,money,4,133,0.03007518796992481
2021-04-11,friend,0,133,0.0
2021-04-11,achieve,7,133,0.05263157894736842
2021-04-11,negate,0,133,0.0
2021-04-11,anger,0,133,0.0
2021-04-11,anx,0,133,0.0
2021-04-10,posemo,6,104,0.057692307692307696
2021-04-10,negemo,4,104,0.038461538461538464
2021-04-10,they,0,104,0.0
2021-04-10,we,1,104,0.009615384615384616
2021-04-10,tentat,1,104,0.009615384615384616
2021-04-10,certain,0,104,0.0
2021-04-10,money,0,104,0.0
2021-04-10,friend,0,104,0.0
2021-04-10,achieve,3,104,0.028846153846153848
2021-04-10,negate,0,104,0.0
2021-04-10,anger,2,104,0.019230769230769232
2021-04-10,anx,0,104,0.0
2021-04-09,posemo,1,117,0.008547008547008548
2021-04-09,negemo,6,117,0.05128205128205128
2021-04-09,they,0,117,0.0
2021-04-09,we,0,117,0.0
2021-04-09,tentat,0,117,0.0
2021-04-09,certain,0,117,0.0
2021-04-09,money,5,117,0.042735042735042736
2021-04-09,friend,0,117,0.0
2021-04-09,achieve,2,117,0.017094017094017096
2021-04-09,negate,0,117,0.0
2021-04-09,anger,4,117,0.03418803418803419
2021-04-09,anx,1,117,0.008547008547008548
2021-04-08,money,2,134,0.014925373134328358
2021-04-08,negemo,3,134,0.022388059701492536
2021-04-08,they,0,134,0.0
2021-04-08,we,0,134,0.0
2021-04-08,tentat,0,134,0.0
2021-04-08,certain,3,134,0.022388059701492536
2021-04-08,posemo,3,134,0.022388059701492536
2021-04-08,friend,0,134,0.0
2021-04-08,achieve,1,134,0.007462686567164179
2021-04-08,negate,0,134,0.0
2021-04-08,anger,1,134,0.007462686567164179
2021-04-08,anx,2,134,0.014925373134328358
2021-04-07,posemo,1,76,0.013157894736842105
2021-04-07,negemo,2,76,0.02631578947368421
2021-04-07,they,0,76,0.0
2021-04-07,we,0,76,0.0
2021-04-07,tentat,0,76,0.0
2021-04-07,certain,0,76,0.0
2021-04-07,money,3,76,0.039473684210526314
2021-04-07,friend,0,76,0.0
2021-04-07,achieve,3,76,0.039473684210526314
2021-04-07,negate,1,76,0.013157894736842105
2021-04-07,anger,1,76,0.013157894736842105
2021-04-07,anx,3,76,0.039473684210526314
2021-04-06,posemo,2,107,0.018691588785046728
2021-04-06,negemo,1,107,0.009345794392523364
2021-04-06,they,0,107,0.0
2021-04-06,we,1,107,0.009345794392523364
2021-04-06,tentat,0,107,0.0
2021-04-06,certain,1,107,0.009345794392523364
2021-04-06,money,4,107,0.037383177570093455
2021-04-06,friend,0,107,0.0
2021-04-06,achieve,7,107,0.06542056074766354
2021-04-06,negate,1,107,0.009345794392523364
2021-04-06,anger,1,107,0.009345794392523364
2021-04-06,anx,0,107,0.0
2021-04-05,posemo,3,97,0.030927835051546393
2021-04-05,negemo,0,97,0.0
2021-04-05,they,0,97,0.0
2021-04-05,we,0,97,0.0
2021-04-05,tentat,0,97,0.0
2021-04-05,certain,2,97,0.020618556701030927
2021-04-05,money,0,97,0.0
2021-04-05,friend,0,97,0.0
2021-04-05,achieve,2,97,0.020618556701030927
2021-04-05,negate,0,97,0.0
2021-04-05,anger,0,97,0.0
2021-04-05,anx,0,97,0.0
2021-04-04,posemo,7,150,0.04666666666666667
2021-04-04,negemo,0,150,0.0
2021-04-04,they,0,150,0.0
2021-04-04,we,0,150,0.0
2021-04-04,tentat,0,150,0.0
2021-04-04,certain,2,150,0.013333333333333334
2021-04-04,money,2,150,0.013333333333333334
2021-04-04,friend,0,150,0.0
2021-04-04,achieve,6,150,0.04
2021-04-04,negate,0,150,0.0
2021-04-04,anger,0,150,0.0
2021-04-04,anx,0,150,0.0
2021-04-03,posemo,1,90,0.011111111111111112
2021-04-03,negemo,4,90,0.044444444444444446
2021-04-03,they,1,90,0.011111111111111112
2021-04-03,we,0,90,0.0
2021-04-03,tentat,2,90,0.022222222222222223
2021-04-03,certain,0,90,0.0
2021-04-03,money,0,90,0.0
2021-04-03,friend,0,90,0.0
2021-04-03,achieve,1,90,0.011111111111111112
2021-04-03,negate,0,90,0.0
2021-04-03,anger,3,90,0.03333333333333333
2021-04-03,anx,3,90,0.03333333333333333
2021-04-02,posemo,1,177,0.005649717514124294
2021-04-02,negemo,1,177,0.005649717514124294
2021-04-02,they,1,177,0.005649717514124294
2021-04-02,we,3,177,0.01694915254237288
2021-04-02,tentat,0,177,0.0
2021-04-02,certain,1,177,0.005649717514124294
2021-04-02,money,1,177,0.005649717514124294
2021-04-02,friend,0,177,0.0
2021-04-02,achieve,1,177,0.005649717514124294
2021-04-02,negate,1,177,0.005649717514124294
2021-04-02,anger,1,177,0.005649717514124294
2021-04-02,anx,0,177,0.0
2021-04-01,posemo,2,135,0.014814814814814815
2021-04-01,negemo,5,135,0.037037037037037035
2021-04-01,they,0,135,0.0
2021-04-01,we,1,135,0.007407407407407408
2021-04-01,tentat,0,135,0.0
2021-04-01,certain,0,135,0.0
2021-04-01,money,0,135,0.0
2021-04-01,friend,0,135,0.0
2021-04-01,achieve,3,135,0.022222222222222223
2021-04-01,negate,1,135,0.007407407407407408
2021-04-01,anger,3,135,0.022222222222222223
2021-04-01,anx,6,135,0.044444444444444446
2021-03-31,money,4,266,0.015037593984962405
2021-03-31,negemo,0,266,0.0
2021-03-31,they,1,266,0.0037593984962406013
2021-03-31,we,0,266,0.0
2021-03-31,tentat,0,266,0.0
2021-03-31,certain,6,266,0.022556390977443608
2021-03-31,posemo,5,266,0.018796992481203006
2021-03-31,friend,0,266,0.0
2021-03-31,achieve,5,266,0.018796992481203006
2021-03-31,negate,1,266,0.0037593984962406013
2021-03-31,anger,0,266,0.0
2021-03-31,anx,0,266,0.0
2021-03-30,posemo,6,233,0.02575107296137339
2021-03-30,negemo,2,233,0.008583690987124463
2021-03-30,they,0,233,0.0
2021-03-30,we,0,233,0.0
2021-03-30,tentat,3,233,0.012875536480686695
2021-03-30,certain,6,233,0.02575107296137339
2021-03-30,money,2,233,0.008583690987124463
2021-03-30,friend,0,233,0.0
2021-03-30,achieve,12,233,0.05150214592274678
2021-03-30,negate,2,233,0.008583690987124463
2021-03-30,anger,2,233,0.008583690987124463
2021-03-30,anx,0,233,0.0
2021-03-29,posemo,5,280,0.017857142857142856
2021-03-29,negemo,6,280,0.02142857142857143
2021-03-29,they,0,280,0.0
2021-03-29,we,3,280,0.010714285714285714
2021-03-29,tentat,0,280,0.0
2021-03-29,certain,1,280,0.0035714285714285713
2021-03-29,money,2,280,0.007142857142857143
2021-03-29,friend,0,280,0.0
2021-03-29,achieve,9,280,0.03214285714285714
2021-03-29,negate,0,280,0.0
2021-03-29,anger,0,280,0.0
2021-03-29,anx,6,280,0.02142857142857143
2021-03-28,posemo,4,153,0.026143790849673203
2021-03-28,negemo,5,153,0.032679738562091505
2021-03-28,they,0,153,0.0
2021-03-28,we,2,153,0.013071895424836602
2021-03-28,tentat,1,153,0.006535947712418301
2021-03-28,certain,1,153,0.006535947712418301
2021-03-28,money,2,153,0.013071895424836602
2021-03-28,friend,0,153,0.0
